Datetime,T2M,QLSTM
08-05-2025 01:00:00,27.6,28.641352409353512
08-05-2025 02:00:00,28.13333333,28.068695879889056
08-05-2025 03:00:00,28.66666667,29.970982551339063
08-05-2025 04:00:00,29.2,32.02896386780449
08-05-2025 05:00:00,31.93333333,31.70167864917267
08-05-2025 06:00:00,34.66666667,34.43504058524803
08-05-2025 07:00:00,37.4,40.32682196460971
08-05-2025 08:00:00,38.4,39.912886852749054
08-05-2025 09:00:00,39.4,38.7584689676135
08-05-2025 10:00:00,40.4,41.52120565435701
08-05-2025 11:00:00,40.0,39.369018366780104
08-05-2025 12:00:00,39.6,38.96499127619814
08-05-2025 13:00:00,39.2,39.797631845762645
08-05-2025 14:00:00,37.36666667,34.210350091324564
08-05-2025 15:00:00,35.53333333,32.7051017695865
08-05-2025 16:00:00,33.7,32.89680931657283
08-05-2025 17:00:00,32.96666667,31.37873023699042
08-05-2025 18:00:00,32.23333333,32.95686951781161
08-05-2025 19:00:00,31.5,30.09461390078576
08-05-2025 20:00:00,30.76666667,28.48293871711921
08-05-2025 21:00:00,30.03333333,32.76235223043266
08-05-2025 22:00:00,29.3,29.08293630111364
08-05-2025 23:00:00,28.9,29.193806876833992
09-05-2025 00:00:00,28.5,26.194596549327354
09-05-2025 01:00:00,28.1,27.327995465206563
09-05-2025 02:00:00,29.03333333,29.4027234797401
09-05-2025 03:00:00,29.96666667,28.13808226619488
09-05-2025 04:00:00,30.9,31.730569481381526
09-05-2025 05:00:00,32.36666667,31.496676877833004
09-05-2025 06:00:00,33.83333333,33.501456238604305
09-05-2025 07:00:00,35.3,34.428150127009104
09-05-2025 08:00:00,34.4,37.80244051055783
09-05-2025 09:00:00,33.5,33.65267877600869
09-05-2025 10:00:00,32.6,30.933893019780328
09-05-2025 11:00:00,31.7,33.30887641443382
09-05-2025 12:00:00,30.8,28.84975245721293
09-05-2025 13:00:00,29.9,30.439981384715736
09-05-2025 14:00:00,28.23333333,24.996216000270184
09-05-2025 15:00:00,26.56666667,24.429452775957493
09-05-2025 16:00:00,24.9,25.419075970671805
09-05-2025 17:00:00,24.7,26.16243084277798
09-05-2025 18:00:00,24.5,24.974672968999517
09-05-2025 19:00:00,24.3,24.274754575351718
09-05-2025 20:00:00,23.9,23.551732896376407
09-05-2025 21:00:00,23.5,21.100934659372843
09-05-2025 22:00:00,23.1,22.022380966623068
09-05-2025 23:00:00,22.76666667,22.14052529453855
10-05-2025 00:00:00,22.43333333,24.450790742676432
10-05-2025 01:00:00,22.1,22.87469379853234
10-05-2025 02:00:00,23.26666667,20.372034584949347
10-05-2025 03:00:00,24.43333333,25.174002729938493
10-05-2025 04:00:00,25.6,25.105461062081723
10-05-2025 05:00:00,28.43333333,27.43047514335621
10-05-2025 06:00:00,31.26666667,32.50825730100099
10-05-2025 07:00:00,34.1,36.07195752960309
10-05-2025 08:00:00,34.2,35.99826872456819
10-05-2025 09:00:00,34.3,33.01445946185273
10-05-2025 10:00:00,34.4,34.037609396461946
10-05-2025 11:00:00,34.26666667,35.01984108034602
10-05-2025 12:00:00,34.13333333,36.00870175718245
10-05-2025 13:00:00,34.0,33.341574004043515
10-05-2025 14:00:00,32.76666667,32.61947833939509
10-05-2025 15:00:00,31.53333333,29.782534183617262
10-05-2025 16:00:00,30.3,28.392664623165356
10-05-2025 17:00:00,29.7,31.291425410315146
10-05-2025 18:00:00,29.1,31.638453446490622
10-05-2025 19:00:00,28.5,28.55076245092817
10-05-2025 20:00:00,27.56666667,29.490783508181874
10-05-2025 21:00:00,26.63333333,27.43940997719314
10-05-2025 22:00:00,25.7,24.752534183005363
10-05-2025 23:00:00,25.7,26.505657890350854
11-05-2025 00:00:00,25.7,28.55510218641781
11-05-2025 01:00:00,25.7,25.813786996127572
11-05-2025 02:00:00,26.06666667,28.968112430463457
